"","x"
"1",0.003
"2",0.0033
"3",0.00363
"4",0.003993
"5",0.0043923
"6",0.00483153
"7",0.005314683
"8",0.0058461513
"9",0.00643076643
"10",0.00707384307300001
"11",0.00778122738030001
"12",0.00855935011833001
"13",0.00941528513016301
"14",0.0103568136431793
"15",0.0113924950074972
"16",0.012531744508247
"17",0.0137849189590717
"18",0.0151634108549788
"19",0.0166797519404767
"20",0.0183477271345244
"21",0.0201824998479768
"22",0.0222007498327745
"23",0.024420824816052
"24",0.0268629072976572
"25",0.0295491980274229
"26",0.0325041178301652
"27",0.0357545296131817
"28",0.0393299825744999
"29",0.0432629808319499
"30",0.0475892789151449
"31",0.0523482068066593
"32",0.0575830274873253
"33",0.0633413302360578
"34",0.0696754632596636
"35",0.07664300958563
"36",0.084307310544193
"37",0.0927380415986123
"38",0.102011845758474
"39",0.112213030334321
"40",0.123434333367753
"41",0.135777766704528
"42",0.149355543374981
"43",0.164291097712479
"44",0.180720207483727
"45",0.1987922282321
"46",0.21867145105531
"47",0.240538596160841
"48",0.264592455776925
"49",0.291051701354618
"50",0.320156871490079
"51",0.352172558639087
"52",0.387389814502996
"53",0.426128795953296
"54",0.468741675548625
"55",0.515615843103488
"56",0.567177427413837
"57",0.623895170155221
"58",0.686284687170743
"59",0.754913155887817
"60",0.830404471476599
